% measles.dat - modeling measles epidemic with logistic curve
% 
% source: E. Rozema, "Epidemic Models for SARS and Measles", 
%         Coll. Math. J., vol.38, no.4, p.246 (2007).
%
% days cases
%  t    y
% ---------
   0     5      
   1     5
   2     5
   3     5
   4     5
   5     5
   6     5
   7     5
   8    34
   9    53
  10    83
  11   115
  12   136
  13   187
  14   206
  15   226
  16   241
  17   264
  18   297
  19   358
  20   427
  21   509
  22   599
  23   696
  24   786
  25   926
  26  1104
  27  1296
  28  1560
  29  1852
  30  2112
  31  2363
  32  2557
  33  2709
  34  2789
  35  2854
  36  2895
  37  2935
  38  2955
  39  2958
  40  2961



